Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Status,Open Date,Links
"South San Francisco, CA",250 Gateway Blvd,South San Francisco,CA,94080,USA,20,72,"37.655243, -122.401321",7,OPEN,2/14/2020,gmap | forum | tesla
"Alexandria, MN",4404 State Hwy 29,Alexandria,MN,56308,USA,8,250,"45.850405, -95.388969",427,OPEN,2/14/2020,gmap | forum | tesla
"Lafayette, LA",Stirling Center Dr,Lafayette,LA,70501,USA,8,250,"30.265264, -91.994232",3,OPEN,2/13/2020,gmap | forum | tesla
"Storlien, Sweden","Vintergatan, by new shopping center",Storlien,,83019,Sweden,8,150,"63.31038, 12.109508",601,OPEN,2/13/2020,gmap | forum | tesla
"Borlänge, Sweden",Bygatan 33,Borlänge,,784 34,Sweden,12,250,"60.478749, 15.438795",130,OPEN,2/11/2020,gmap | forum | tesla
"Meriden, CT",903 East Main St,Meriden,CT,6450,USA,8,250,"41.527018, -72.773982",98,OPEN,2/9/2020,gmap | forum | tesla
"Cheektowaga, NY",525–533 Duke Rd,Buffalo,NY,14225,USA,8,250,"42.90741, -78.762239",199,OPEN,2/8/2020,gmap | forum | tesla
"Madison, VA",2902 S Seminole Trail,Madison,VA,22727,USA,8,250,"38.34664, -78.286103",192,OPEN,2/7/2020,gmap | forum | tesla
"Oneonta, NY",4968 NY-23,Oneonta,NY,13820,USA,8,250,"42.447575, -75.048622",334,OPEN,2/7/2020,gmap | forum | tesla
"Ocean City, MD",12826A Ocean Gateway,West Ocean City,MD,21842,USA,8,250,"38.335586, -75.104509",2,OPEN,2/7/2020,gmap | forum | tesla
"Grove City, PA",1931 Butler Pike,Grove City,PA,16127,USA,8,250,"41.143778, -80.157055",395,OPEN,2/7/2020,gmap | forum | tesla
"Idaho Springs, CO",1319 Miner St,Idaho Springs,CO,80452,USA,8,250,"39.741549, -105.518358",2303,OPEN,2/6/2020,gmap | forum | tesla
"Lynchburg, VA",14480 Wards Rd,Lynchburg,VA,24502,USA,8,250,"37.32486, -79.190523",283,OPEN,2/6/2020,gmap | forum | tesla
"Chicoutimi, QC",1562 Boul Talbot,Chicoutimi,QC,G7H 4C2,Canada,8,150,"48.401913, -71.062556",102,OPEN,2/1/2020,gmap | forum | tesla
"Madison - Northbound, CT",I-95 N,Madison,CT,6443,USA,10,250,"41.2900852, -72.5803292",13,OPEN,1/30/2020,gmap | forum | tesla
"Madison - Southbound, CT",I-95 S,Madison,CT,6443,USA,10,250,"41.2915926, -72.5790793",14,OPEN,1/30/2020,gmap | forum | tesla
"Scotts Valley, CA",230 Mount Hermon Rd,Scotts Valley,CA,95066,USA,16,250,"37.047608, -122.027743",161,OPEN,1/30/2020,gmap | forum | tesla
"Miami - SW 24th Street, FL",6971 SW 24th St,Miami,FL,33155,USA,8,250,"25.7485018, -80.3084064",2,OPEN,1/30/2020,gmap | forum | tesla
"Marianna, FL",2070 FL-71,Marianna,FL,32448,USA,8,250,"30.716016, -85.184269",26,OPEN,1/29/2020,gmap | forum | tesla
"North Bethesda, MD",11860 Trade St,North Bethesda,MD,20852,USA,8,72,"39.050339, -77.11657",119,OPEN,1/28/2020,gmap | forum | tesla
"Swartz Creek, MI",4141 Morrish Road,Swartz Creek,MI,48473,USA,10,150,"42.96744, -83.828794",239,OPEN,1/28/2020,gmap | forum | tesla
"Flushing, NY",136-20 38th Ave,Flushing,NY,11354,USA,4,72,"40.760821, -73.829676",14,OPEN,1/28/2020,gmap | forum | tesla
"Richmond, BC",6060 Minoru Blvd,Richmond,BC,V6Y 1Y2,Canada,20,150,"49.170013, -123.138776",2,OPEN,1/28/2020,gmap | forum | tesla
"Manhattan - Vesey St, NY",250 Vesey St,New York,NY,10281,USA,2,72,"40.714062, -74.015837",6,OPEN,1/28/2020,gmap | forum | tesla
