,country,city,status,open_date,lat,long
902,USA,Mansfield,OPEN,2018-06-30,42.013729,-71.231754
903,USA,Downey,OPEN,2018-06-30,33.934643,-118.12117
904,Germany,Herbolzheim,OPEN,2018-06-30,48.227093,7.753694
905,United Kingdom,Hungerford,OPEN,2018-06-29,51.4839,-1.5568
906,USA,Plainview,OPEN,2018-06-29,40.779989,-73.450258
907,Sweden,Enköping,OPEN,2018-06-29,59.658468,17.076533
908,USA,Kennebunk,OPEN,2018-06-29,43.410693,-70.560923
909,New Zealand,Omarama,OPEN,2018-06-29,-44.484457,169.971207
910,China,Soho,OPEN,2018-06-29,22.28364,114.15089
911,Netherlands,Breda,OPEN,2018-06-29,51.577507,4.729798
912,USA,Framingham,OPEN,2018-06-29,42.303637,-71.394171
913,Canada,Markham,OPEN,2018-06-28,43.850286,-79.353573
914,Spain,Fuengirola,OPEN,2018-06-28,36.580783,-4.595893
915,United Kingdom,Richmond,OPEN,2018-06-27,54.4421,-1.6713
916,USA,San Diego,OPEN,2018-06-27,32.719384,-117.159567
917,Taiwan,Miaoli,OPEN,2018-06-26,24.462022,120.759966
918,USA,Henderson,OPEN,2018-06-23,35.97141,-114.911332
919,USA,Mehlville,OPEN,2018-06-23,38.508172,-90.331113
920,Mexico,Ciudad López Mateos,OPEN,2018-06-23,19.551381,-99.272954
921,USA,Miami,OPEN,2018-06-23,25.813933,-80.194551
922,Mexico,Matehuala,OPEN,2018-06-22,23.721462,-100.607074
923,China,Wuhu,OPEN,2018-06-22,31.345667,118.390327
924,USA,Gaylord,OPEN,2018-06-21,45.025577,-84.722201
925,USA,Carmel,OPEN,2018-06-21,39.97193,-86.152619
926,Norway,Vikeså,OPEN,2018-06-21,58.63192,6.077767
927,USA,Springfield,OPEN,2018-06-21,38.774412,-77.177566
928,Norway,Indre Arna,OPEN,2018-06-21,60.421749,5.467271
929,Sweden,Kungälv,OPEN,2018-06-21,57.8581639,11.9982719
930,Norway,Flå,OPEN,2018-06-21,60.381236,9.610003
931,Italy,Forcola,OPEN,2018-06-20,46.165099,9.675995
932,China,Dongguan,OPEN,2018-06-19,22.92447491,113.70186874
933,Canada,Burlington,OPEN,2018-06-17,43.324467,-79.821041
934,USA,Island Creek,OPEN,2018-06-16,34.756276,-77.948019
935,Portugal,Ribeira de Pena,OPEN,2018-06-14,41.503684,-7.801877
936,USA,Kennebunk,OPEN,2018-06-14,43.409493,-70.558551
937,Canada,Belleville,OPEN,2018-06-09,44.187938,-77.398757
938,USA,San Bernardino,OPEN,2018-06-08,34.08407,-117.299314
939,Norway,Åndalsnes,OPEN,2018-06-07,62.557729,7.685328
940,USA,Claymont,OPEN,2018-06-06,39.817478,-75.457282
941,USA,New Rochelle,OPEN,2018-06-04,40.912298,-73.780132
942,USA,Miami,OPEN,2018-06-01,25.766875,-80.194524
943,China,Fogang,OPEN,2018-05-31,23.881342,113.529108
944,China,Nan'ning,OPEN,2018-05-31,22.808872,108.39949
945,Denmark,Haverslev,OPEN,2018-05-31,56.783428,9.69082
946,USA,Boulder,OPEN,2018-05-30,40.020306,-105.257028
947,France,Saint-Georges-de-Gréhaigne,OPEN,2018-05-29,48.568171,-1.543283
948,USA,Altamonte Springs,OPEN,2018-05-27,28.664414,-81.380274
949,USA,Wheatland,OPEN,2018-05-27,42.072497,-104.96271
950,USA,Kansas City,OPEN,2018-05-26,39.24629,-94.644943
951,USA,Downey,OPEN,2018-05-25,33.953335,-118.112914
952,Netherlands,Breukelen,OPEN,2018-05-25,52.167863,4.988514
953,Spain,La Seu d'Urgell,OPEN,2018-05-24,42.359108,1.462297
954,Norway,Lillesand,OPEN,2018-05-22,58.236817,8.299052
955,USA,Valley Stream,OPEN,2018-05-21,40.66402,-73.7251
956,USA,Athens,OPEN,2018-05-18,33.916675,-83.452965
957,USA,Aventura,OPEN,2018-05-17,25.956403,-80.143001
958,Spain,Getafe,OPEN,2018-05-16,40.290389,-3.696302
959,USA,Danbury,OPEN,2018-05-15,41.379222,-73.477689
960,China,Shanghai,OPEN,2018-05-15,31.245934,121.486649
961,USA,Estes Park,OPEN,2018-05-15,40.383833,-105.519783
962,Portugal,Guarda,OPEN,2018-05-12,40.559107,-7.230415
963,USA,Custer,OPEN,2018-05-11,43.767498,-103.594306
964,USA,Hartford,OPEN,2018-05-09,41.766116,-72.673977
965,USA,Merrillville,OPEN,2018-05-09,41.468444,-87.343613
966,USA,Tigard,OPEN,2018-05-07,45.451608,-122.782599
967,USA,Fairfield,OPEN,2018-05-06,38.26175,-122.0524
968,USA,San Luis Obispo,OPEN,2018-05-06,35.267293,-120.674191
969,China,Hefel,OPEN,2018-05-03,31.86278595,117.29193347
970,China,Hangzhou,OPEN,2018-05-03,30.173424,120.146324
971,USA,Dubuque,OPEN,2018-05-02,42.48773,-90.663624
972,USA,Tucson,OPEN,2018-04-29,32.32555,-110.930936
973,USA,Fremont,OPEN,2018-04-28,37.544506,-121.983822
974,Switzerland,Melide,OPEN,2018-04-27,45.954229,8.950579
975,Japan,Nagoya,OPEN,2018-04-27,35.18822,136.904113
976,Spain,Almaraz,OPEN,2018-04-26,39.791255,-5.695668
977,China,Lianyungang,OPEN,2018-04-24,34.598236,119.185715
978,USA,New York,OPEN,2018-04-24,40.780976,-73.980414
979,China,Taizhou,OPEN,2018-04-24,32.543018,119.950325
980,USA,New York,OPEN,2018-04-24,40.753356,-73.971685
981,USA,Sedona,OPEN,2018-04-23,34.775559,-111.764099
982,USA,Glenview,OPEN,2018-04-20,42.077128,-87.860788
983,USA,Dallas,OPEN,2018-04-19,32.881155,-96.769519
984,USA,Southlake,OPEN,2018-04-19,32.943488,-97.133843
985,USA,Hadley,OPEN,2018-04-17,42.338922,-72.611239
986,France,Thiais,OPEN,2018-04-17,48.754865,2.373034
987,USA,Dent,OPEN,2018-04-14,39.193996,-84.65871
988,Italy,Imperia,OPEN,2018-04-13,43.89258,8.039121
989,China,Guangzhou,OPEN,2018-04-13,23.11766586,113.3233006
990,USA,Fredericksburg,OPEN,2018-04-12,38.225974,-77.506136
991,China,"Sha Tin, New Territories",OPEN,2018-04-12,22.381727,114.188806
992,China,Xi'an,OPEN,2018-04-10,34.19501501,108.98852562
993,China,Anshan,OPEN,2018-04-10,41.157772,122.948524
994,USA,Santa Clarita,OPEN,2018-04-06,34.431041,-118.554319
995,USA,Hickory,OPEN,2018-04-04,35.706189,-81.294768
996,Canada,Hamilton,OPEN,2018-04-02,43.21709,-79.863234
997,USA,Plano,OPEN,2018-03-31,33.07868,-96.819506
998,USA,Glendale,OPEN,2018-03-30,34.145099,-118.256433
999,China,Tianmen,OPEN,2018-03-30,30.649229,113.149208
1000,USA,Cupertino,OPEN,2018-03-29,37.324372,-122.009179
1001,Ireland,Castlebellingham,OPEN,2018-03-29,53.932462,-6.417717
1002,Ireland,Castlebellingham,OPEN,2018-03-29,53.924106,-6.411373
